                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.53859,                0.51468,                0.96893,                0.56357,                0.51802,                0.55259,                0.46326,                0.80758,                 2.7904,                  1.218,              0.0044065,              0.0044065,              0.0044065
                    116,                 0.4744,                0.46669,                0.92199,                0.57112,                    0.6,                0.56269,                0.43641,                0.75178,                 1.9752,                 1.1592,               0.004357,               0.004357,               0.004357
                    117,                0.55612,                0.48195,                0.98878,                0.57112,                    0.6,                0.56269,                0.43641,                0.75178,                 1.9752,                 1.1592,              0.0043075,              0.0043075,              0.0043075
                    118,                0.61385,                0.50676,                 1.0064,                0.68771,                0.66312,                0.55525,                0.46236,                0.76693,                 2.2207,                 1.1235,               0.004258,               0.004258,               0.004258
                    119,                0.57859,                0.53149,                0.97087,                0.74362,                0.58215,                0.55058,                0.45148,                0.71626,                 1.9967,                 1.0996,              0.0042085,              0.0042085,              0.0042085
                    120,                0.48954,                0.45622,                0.93485,                 0.7385,                    0.6,                0.52819,                0.48495,                0.67669,                 2.0923,                 1.0856,               0.004159,               0.004159,               0.004159
                    121,                0.51822,                0.48964,                0.91706,                 0.7385,                    0.6,                0.52819,                0.48495,                0.67669,                 2.0923,                 1.0856,              0.0041095,              0.0041095,              0.0041095
                    122,                0.43921,                0.43045,                0.89333,                0.74787,                0.59403,                0.50829,                 0.4436,                0.70796,                 2.2601,                 1.0959,                0.00406,                0.00406,                0.00406
                    123,                0.56056,                0.45483,                 0.9519,                0.73776,                    0.6,                0.60367,                0.48256,                0.62245,                 1.6188,                 1.0409,              0.0040105,              0.0040105,              0.0040105
                    124,                0.42399,                0.38008,                0.86795,                0.60175,                0.75745,                0.59411,                0.49793,                0.64208,                 1.6786,                 1.0568,               0.003961,               0.003961,               0.003961
                    125,                0.41612,                 0.4289,                0.86365,                0.60175,                0.75745,                0.59411,                0.49793,                0.64208,                 1.6786,                 1.0568,              0.0039115,              0.0039115,              0.0039115
                    126,                 0.4642,                0.43985,                0.90374,                0.98611,                    0.5,                0.70083,                0.58658,                 0.7279,                 1.4466,                  1.111,               0.003862,               0.003862,               0.003862
                    127,                0.57799,                0.54597,                 1.0251,                0.63645,                    0.6,                0.64798,                 0.5545,                 0.7432,                 1.5839,                  1.104,              0.0038125,              0.0038125,              0.0038125
                    128,                0.43376,                0.39563,                0.91121,                0.63987,                    0.6,                0.57256,                0.48782,                0.69941,                 1.6683,                 1.0982,               0.003763,               0.003763,               0.003763
                    129,                0.52049,                0.47832,                   0.94,                0.63987,                    0.6,                0.57256,                0.48782,                0.69941,                 1.6683,                 1.0982,              0.0037135,              0.0037135,              0.0037135
                    130,                0.50827,                0.44132,                0.94081,                0.56035,                0.76639,                0.56414,                0.48608,                0.66315,                 1.5549,                 1.0561,               0.003664,               0.003664,               0.003664
                    131,                0.48574,                 0.4878,                0.97004,                0.57125,                    0.8,                0.55055,                 0.4788,                0.65205,                 1.6255,                 1.0424,              0.0036145,              0.0036145,              0.0036145
                    132,                 0.4058,                0.43289,                0.91224,                0.50516,                    0.8,                0.57126,                0.48736,                0.62717,                 1.4403,                 1.0448,               0.003565,               0.003565,               0.003565
                    133,                0.67823,                0.54098,                 1.2095,                0.50516,                    0.8,                0.57126,                0.48736,                0.62717,                 1.4403,                 1.0448,              0.0035155,              0.0035155,              0.0035155
                    134,                0.39166,                0.37307,                0.88984,                 0.5538,                    0.9,                0.61894,                 0.5368,                0.66098,                 1.4711,                 1.0725,               0.003466,               0.003466,               0.003466
